STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,PRODUCT_CATEGORIES,Product categories,UNIT_MEASURE,Unit of measure,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2000,,56.1254327,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2005,,98.46385446,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2010,,165.6779646,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2011,,215.502491,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2012,,241.2286912,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2013,,220.706152,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2014,,224.3487963,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2015,,238.2036683,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2016,,222.958183,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,AUS,Australia,A,Annual,EE_LE,Large equipment,T,Tonnes,MKT,Products put on the market,2017,,270.9697636,,A,Normal value,3,Thousands,2,Two
